scenario,function,abs_alpha_l2_mean,abs_alpha_l2_std,abs_alpha_linf_mean,abs_alpha_linf_std
baseline,besov_faber_schauder,0.38370290673734814,0.12755567032784326,0.3685138627467199,0.10722137816749805
baseline,piecewise_kink_poly,0.3891572946439161,0.04799821211265288,0.22295858613174294,0.0690568721585918
baseline,smooth,0.3901924391470697,0.026479876446960236,0.25712796642855335,0.048830817230720094
grid_size=1000,besov_faber_schauder,0.2951562770159008,0.0,0.2808869103564319,0.0
grid_size=1000,piecewise_kink_poly,0.4101773251449036,0.0,0.2642418981110823,0.0
grid_size=1000,smooth,0.4189331622209375,0.0,0.3014861475549372,0.0
grid_size=300,besov_faber_schauder,0.2910807312496016,0.0,0.3040050422272761,0.0
grid_size=300,piecewise_kink_poly,0.4106972622765374,0.0,0.263209892603499,0.0
grid_size=300,smooth,0.4173355310062546,0.0,0.2955496473055931,0.0
noise=0,besov_faber_schauder,0.2951562770159008,0.0,0.2808869103564319,0.0
noise=0,piecewise_kink_poly,0.4101773251449036,0.0,0.2642418981110823,0.0
noise=0,smooth,0.4189331622209375,0.0,0.3014861475549372,0.0
noise=0.01,besov_faber_schauder,0.2023498702143422,0.0,0.2559107667447489,0.0
noise=0.01,piecewise_kink_poly,0.1737237264694832,0.0,0.2391961808538518,0.0
noise=0.01,smooth,0.1490550136374465,0.0,0.1697833012073802,0.0
sampler=grid,besov_faber_schauder,0.4553695017878127,0.0,0.3409992032659181,0.0
sampler=grid,piecewise_kink_poly,0.4192685647644087,0.0,0.3002624726581778,0.0
sampler=grid,smooth,0.4780982954081212,0.0,0.3509748722781692,0.0
sampler=random,besov_faber_schauder,0.2951562770159008,0.0,0.2808869103564319,0.0
sampler=random,piecewise_kink_poly,0.4101773251449036,0.0,0.2642418981110823,0.0
sampler=random,smooth,0.4189331622209375,0.0,0.3014861475549372,0.0
seed_under_noise=0.01,besov_faber_schauder,0.2341968637101127,0.0810647853886159,0.2937254752943474,0.045072409387593965
seed_under_noise=0.01,piecewise_kink_poly,0.12488457264057751,0.047692755085890735,0.12364552780949156,0.10290320298012634
seed_under_noise=0.01,smooth,0.141357902258895,0.015066773935643239,0.1431927188317953,0.04312259550887433
wd=0,besov_faber_schauder,0.2951562770159008,0.0,0.2808869103564319,0.0
wd=0,piecewise_kink_poly,0.4101773251449036,0.0,0.2642418981110823,0.0
wd=0,smooth,0.4189331622209375,0.0,0.3014861475549372,0.0
wd=0.0001,besov_faber_schauder,0.060308109491171,0.0,0.0387388801678177,0.0
wd=0.0001,piecewise_kink_poly,0.0866049412685044,0.0,0.0232486023365282,0.0
wd=0.0001,smooth,0.0559020038979375,0.0,0.0208070295036881,0.0
